N,Case,Algorithm,AvgTime_us,AvgComps
800,Random,MSDRadix,224,0
800,Random,MSDCutoff,49.8,2030
800,Reversed,QuickStd,302.271,119222
800,Reversed,MergeStd,574.814,9769
800,Reversed,Quick3Way,151.029,17524
800,Reversed,MergeLCP,388.329,7237
800,Reversed,MSDRadix,275.871,0
800,Reversed,MSDCutoff,118.814,12037
800,AlmostSorted,QuickStd,340.6,122604
800,AlmostSorted,MergeStd,494.471,14129
800,AlmostSorted,Quick3Way,121.843,13339
800,AlmostSorted,MergeLCP,406.014,12135
800,AlmostSorted,MSDRadix,263.5,0
800,AlmostSorted,MSDCutoff,69.3857,5153
900,Random,QuickStd,339.3,138327
900,Random,MergeStd,740.329,17866
900,Random,Quick3Way,96.4571,8404
900,Random,MergeLCP,551.386,16916
900,Random,MSDRadix,239.771,0
900,Random,MSDCutoff,59.5571,2615
900,Reversed,QuickStd,309.429,117141
900,Reversed,MergeStd,608.257,11214
900,Reversed,Quick3Way,142.5,19732
900,Reversed,MergeLCP,408.143,8103
900,Reversed,MSDRadix,278.986,0
900,Reversed,MSDCutoff,124.086,13408
900,AlmostSorted,QuickStd,326.343,135508
900,AlmostSorted,MergeStd,592.171,16220
900,AlmostSorted,Quick3Way,93.2571,11317
900,AlmostSorted,MergeLCP,384.657,13848
900,AlmostSorted,MSDRadix,329.971,0
900,AlmostSorted,MSDCutoff,72.6143,5743
1000,Random,QuickStd,451.243,145942
1000,Random,MergeStd,731.186,20225
1000,Random,Quick3Way,113.057,11124
1000,Random,MergeLCP,585.8,19001
1000,Random,MSDRadix,241.314,0
1000,Random,MSDCutoff,58.6143,2968
1000,Reversed,QuickStd,276.386,119610
1000,Reversed,MergeStd,561.686,12895
1000,Reversed,Quick3Way,161.229,23298
1000,Reversed,MergeLCP,439.286,9839
1000,Reversed,MSDRadix,307.357,0
1000,Reversed,MSDCutoff,129.471,14960
1000,AlmostSorted,QuickStd,392.471,153835
1000,AlmostSorted,MergeStd,562.729,17912
1000,AlmostSorted,Quick3Way,141.057,18154
1000,AlmostSorted,MergeLCP,467.357,16265
1000,AlmostSorted,MSDRadix,326.129,0
1000,AlmostSorted,MSDCutoff,87.3286,6151
1100,Random,QuickStd,432.743,156554
1100,Random,MergeStd,806.371,22792
1100,Random,Quick3Way,108.786,10578
1100,Random,MergeLCP,712.771,21263
1100,Random,MSDRadix,257.086,0
1100,Random,MSDCutoff,70.2,3421
1100,Reversed,QuickStd,367.843,141172
1100,Reversed,MergeStd,788.414,14084
1100,Reversed,Quick3Way,197.971,26858
1100,Reversed,MergeLCP,557.043,11216
1100,Reversed,MSDRadix,541.143,0
1100,Reversed,MSDCutoff,337.814,16539
1100,AlmostSorted,QuickStd,491.171,165863
1100,AlmostSorted,MergeStd,631.114,20949
1100,AlmostSorted,Quick3Way,167.171,21853
1100,AlmostSorted,MergeLCP,563.829,19263
1100,AlmostSorted,MSDRadix,359.871,0
1100,AlmostSorted,MSDCutoff,89.5286,6906
1200,Random,QuickStd,471.214,178306
1200,Random,MergeStd,940.514,25285
1200,Random,Quick3Way,125.3,12522
1200,Random,MergeLCP,706.6,23523
1200,Random,MSDRadix,285.357,0
1200,Random,MSDCutoff,78.7,3923
1200,Reversed,QuickStd,457.257,165116
1200,Reversed,MergeStd,739.329,15241
1200,Reversed,Quick3Way,220.571,31937
1200,Reversed,MergeLCP,692.943,12137
1200,Reversed,MSDRadix,364.129,0
1200,Reversed,MSDCutoff,164.057,18131
1200,AlmostSorted,QuickStd,451.457,181394
1200,AlmostSorted,MergeStd,754.743,23861
1200,AlmostSorted,Quick3Way,189.314,19175
