Array length;Merge Sort Random;Merge Sort Reverse Sorted;Merge Sort Almost Sorted;Merge+Insertion Sort Random;Merge+Insertion Sort Reverse Sorted;Merge+Insertion Almost Sorted
500;289.9;331.2;257;24.4;29.4;37.2
600;324.1;476.8;301.9;35.6;51.5;56.7
700;386.2;519.3;354.6;41.3;83.2;54.3
800;444.9;629.1;514.2;62;49.6;83.3
900;533.1;551.5;491.3;71.7;68.7;41.3
1000;604.6;685.5;600.6;86.5;97.1;79.1
1100;703.4;703.6;685.9;161.6;165.5;145
1200;728.4;794.4;774.6;111.6;99.9;89.9
1300;872.1;833;806.4;127.5;115;100.6
1400;935.6;867.4;843.8;161.1;147.3;101.4
1500;1027.3;894.2;969.1;98;143.5;113
1600;1050;941.4;957.1;110.5;94.4;136.6
1700;1074.4;1022;1003.3;95.5;118.4;121.7
1800;1182.1;1047.9;1057.2;121.2;118.5;83.3
1900;1238.1;1126.3;1094.7;91;108.1;87.5
2000;1337.8;1271.7;1155.2;148.7;186.3;138.1
2100;1404.4;1332.2;1377.6;186.4;195.7;170.7
2200;1223.1;1292.9;1211.7;202.6;206.3;178.5
2300;1292.4;1416.9;1289.5;163.3;202;175.8
2400;1402.5;1379;1359.3;176.8;168.7;137
2500;1427.4;1366.2;1528.6;176.2;163.8;149.6
2600;1528.7;1468;1356.6;158.1;152.9;151.2
2700;1671.9;1575.9;1672.7;177.1;149;157.3
2800;1563.6;1662.6;1558.4;173.7;171.1;153
2900;1767.2;1765.2;1621.9;145.2;208.7;171.2
3000;2042.3;1726.8;1629.4;172.5;208.5;195.8
3100;1959.6;1733.8;1780.3;196.3;180.3;220.3
3200;1765.1;1856.7;1796;173.4;189.2;220.4
3300;1965.9;1885.5;1918;184.7;183.6;216
3400;1929.4;1919.4;1957.6;210;221.8;244.1
3500;2021.5;2046.3;1983.8;275.7;266.8;303.1
3600;2144.3;2038.2;1998.6;192.9;226.3;156.9
3700;2196.9;2162;2253.3;218.1;228.1;217.9
3800;2104.5;2284.8;2182.8;217.6;302.1;242.2
3900;2203;2605.7;2088.1;347.2;377;371.9
4000;2295.5;2780.6;2391.8;511.4;580.1;510.1
4100;2361.4;2814;2194.5;355.2;520.7;321.2
4200;2531.8;2846.6;2534.6;675.8;646.1;405.3
4300;2608.2;2867.4;2726.4;990.4;731.4;582.9
4400;2381.9;2757.2;2785.6;516.4;703.6;481.7
4500;2439.3;3061.6;2372;598.6;640.4;571
4600;2573.3;2802.6;2577.5;453.1;723;653.1
4700;2676.3;3067.8;2489.3;326.4;327;312.2
4800;2855.7;3292.8;2498.9;422.1;333.3;305.7
4900;2682.2;3095.9;2605.3;363.1;331;289.3
5000;2708.1;3108.5;2904.7;427.5;390.9;365.6
5100;2753.9;3165.3;2988.7;446.2;474.4;549.6
