Array length;Merge Sort Random;Merge Sort Reverse Sorted;Merge Sort Almost Sorted;Merge+Insertion Sort Random;Merge+Insertion Sort Reverse Sorted;Merge+Insertion Almost Sorted
3900;2202;2348.6;2738.3;1009.9;762.8;788.6
4000;2282;2230.8;2303.6;699.5;483.9;672.1
4100;2267.3;2428.3;2479.1;865.9;914.7;1141.2
4200;2411.1;2985.1;3073.3;1493.2;1100.2;1407.2
4300;2428.8;2367.3;2550.3;462;587.2;520.1
4400;2460;2878.8;3161.3;962.9;1703.4;1063
4500;2605.3;3040.3;3326.7;1135.8;1532;1476.2
4600;2542.2;2773.2;2783.8;479.9;546.7;526.1
4700;2636.6;2847.9;3435.1;634;651.2;576.9
4800;2613.1;2716.9;3393.5;639;829.8;684.1
4900;2757.5;3638.9;2563.1;621.8;887.4;1051.8
5000;2770.5;2995.8;2616.1;648.4;490.1;752.4
5100;2731.6;3641.7;2740.8;797.4;641.3;1024.8
5200;2876.2;4241.2;2845;1113.6;925.9;1166.7
5300;3132.3;4377.4;3351.2;975.9;932.3;955.2
5400;3147.8;3077.1;3320.7;910.8;892.8;1262.8
5500;3090.6;3611.5;3394.9;1414.9;1289.2;1643.6
5600;3246.8;3179.3;3170.2;1094.5;868.4;1043
5700;3322.2;3313.8;3362.7;615.9;1173.8;1059.1
5800;3166.3;3357.6;3276.9;598.6;1273.2;934.6
5900;3338.8;3670.5;3602.8;992.7;1703.6;1348.2
6000;3372.5;3679.2;3600.4;1192.8;925.5;1124.6
6100;3470.3;3849.2;4100.9;1583.2;1344.1;1926.9
6200;3537.3;3592.8;4516.2;883.1;870.2;1680.7
6300;3598.4;4049.2;4284.6;792.2;1270.5;1599.1
6400;3802.4;4544.1;4646.9;1022.8;1651.6;1805.5
6500;3798.3;3886.2;3569.3;1168.7;950.9;614.2
6600;3687.8;4423.4;3819.4;1551.2;1178.1;805.4
6700;3677.9;4233.6;4219;1339.1;1203.7;1191.6
6800;3761.9;4943.7;4592.7;1687.2;1513.8;1570.9
6900;3862.7;4994.3;4689.9;1281.9;1447.5;1513.4
7000;3925.2;3699.9;3601.5;572.6;527.6;618.8
7100;3924.5;3780.8;3768.6;667.4;531.4;591.7
7200;4083.7;3822.6;3991;814.2;613.6;589.7
7300;4041.6;4018.4;4087.7;808.6;569.1;605
7400;4260.1;3985.7;3879.6;660.1;586;524.9
7500;4168.7;4286.8;4040.7;809.5;591.3;533.5
7600;4323.3;4186.5;4245.2;577.2;672.1;637.4
7700;4128.1;4377.5;4227.5;568.3;667.5;636.9
7800;4056.1;4510.4;4447.9;763.4;901.3;902.4
7900;4159.8;4201.3;4254.8;607.7;689.1;663.3
8000;4236.8;4220.8;4390.8;721.7;883.3;841.7
8100;4401.3;4419;4657;763.5;933.8;1167.6
8200;4549.8;4539.8;4456.5;950.6;1118.6;1239.4
8300;4444.5;4880.5;4907.9;1053.8;1274.1;1497.6
8400;4664.4;4818.3;4922.9;1087;1272.2;1416
8500;4571.8;4595.3;4735.8;891.6;1155;968.3
8600;4608.1;4717.9;4564.4;886.8;895.9;965.3
8700;4910.5;4959.5;4708.6;1093.5;986.5;1202.9
8800;5246;5174.5;4758.9;1316.2;1113.9;1209.3
8900;5066.2;5019.9;4923.9;1235.5;1244.6;1313.5
9000;4738.6;5186.2;5200.7;1256.5;1289.1;1265.8
9100;5252.1;5310.7;5151.9;1474.8;1653.1;1662.6
9200;4590.6;4945.2;4555.3;950.7;938.8;881.8
9300;4895.3;5113;4844.9;903.8;901.1;986.4
9400;4613.5;5025.5;4926.2;923.9;964.1;964.3
9500;5091;5516.8;4981.9;1043.5;919;1054.5
9600;4783.8;5210.9;4923.9;941.1;981.5;1087.6
9700;5581;4806.6;4888.3;1022.1;1151.1;1039.6
9800;5370.7;4805.6;4842.5;992.3;1078.6;1066.7
9900;5712.6;5116;5028.4;1100.5;1233.7;1061.9
10000;5243.5;4973.6;4864.2;875.8;941.2;995.2
