Array length;Merge Sort Random;Merge Sort Reverse Sorted;Merge Sort Almost Sorted;Merge+Insertion Sort Random;Merge+Insertion Sort Reverse Sorted;Merge+Insertion Almost Sorted
500;283.7;273;259;37.3;36.4;38.1
600;331.4;304.8;306.9;46.6;45.5;47.4
700;369.9;342.8;329.9;46.5;51.9;61.3
800;442;414.6;406.9;48.2;63.8;71
900;485.3;458.4;464.8;61.1;72.1;79.9
1000;553.4;560.9;522.6;96.4;101.6;115.7
1100;647.3;595;592.7;133.5;143.1;134.2
1200;738;650;606.4;178.5;188.9;137.8
1300;822.8;727.2;679.1;167.3;166.6;146.8
1400;884.3;776.1;762;180.3;142.1;165
1500;978;842.3;833.8;199.5;130.9;164.6
1600;998.3;915.8;931.3;137.4;165;188.6
1700;1088.5;969.4;923.5;167.4;149.9;153.1
1800;1184.4;1035.1;941.6;166.6;174.8;141.6
1900;1137.4;1025.9;1057.1;146.5;124.1;134.5
2000;1284;1199.5;1119.3;207.6;183.4;185
2100;1318.7;1214.5;1197;255.1;229.1;232.1
2200;1528.4;1309.5;1571.4;266.1;269.4;242.1
2300;1484.5;1391.6;1256.4;231.9;243.6;245.9
2400;1411.5;1223.5;1323.8;270.5;273.1;239
2500;1446.5;1348.1;1279.5;259.5;221.3;248.9
2600;1606.3;1371.9;1285.8;251.3;243.5;215.7
2700;1645.5;1582.8;1404.8;231.3;226.3;248
2800;1789.5;1541.7;1442.2;260.8;228.1;236.9
2900;1764.3;1576.4;1513.8;218;262.6;241
3000;1891.3;1622.5;1604.6;243.1;237;258.8
3100;1926.8;1752.2;1651.5;237.5;231.3;362.6
3200;1923.8;1710.7;1743.8;281.3;360.3;394.4
3300;2022;1791.4;1730.7;350.1;314.8;251.9
3400;2023.8;1897.4;1816.8;410.2;359.3;470.6
3500;2009.1;1992.6;1833.3;254;339.8;276.9
3600;2115.9;2224.5;1935.4;469.9;581.9;343.5
3700;2189.8;2073;2022;309.5;434.5;330.8
3800;2183.3;2247.4;2403.8;466.5;385.1;397.1
