Array length;Merge Sort Random;Merge Sort Reverse Sorted;Merge Sort Almost Sorted;Merge+Insertion Sort Random;Merge+Insertion Sort Reverse Sorted;Merge+Insertion Almost Sorted
500;268.7;262.2;261.4;20;21;17.2
600;335.9;309.7;303.2;21.4;22.4;22.6
700;375.2;358.1;335.9;21.1;29.2;28.5
800;452.1;416;406.4;25.6;41.7;34
900;519.6;485.7;455.2;45.2;61.5;64.5
1000;559.8;541.3;531.8;55.2;70.3;74.3
1100;644;642.4;604.3;85.4;109.7;88.5
1200;784.2;753.1;626.7;123;134.6;96.8
1300;819.4;734.8;693.1;118.2;110;76.6
1400;863.7;783.4;774.2;129.7;94.3;108.5
1500;937.2;872;832.4;104.2;86.1;91.3
1600;992.9;987.6;904.2;87.1;116.8;121.1
1700;1110.7;1013.2;925.3;135.8;116.9;108.5
1800;1190;1115.6;936.5;126.2;144.4;108.5
1900;1094.2;1054.5;1029.9;112.8;93.8;110
2000;1359.4;1163.5;1093.6;140.4;119.3;123.8
2100;1420;1190.2;1151.1;160.9;141.9;145.3
2200;1606.8;1361.5;1323;156.3;169.9;153.6
2300;1554.6;1312.7;1277.6;146.2;147.2;165.2
2400;1609.4;1387.2;1353.9;166.8;187.3;128.3
2500;1564.4;1436.4;1305.3;158.9;128;164.2
2600;1926.9;1454.8;1306.3;148.8;154.3;113.3
2700;1767.8;1502.9;1423.4;130.7;140.8;133.9
2800;1703.6;1565.5;1470;155.4;150.9;129.8
2900;1794.2;1552.4;1524.9;107.3;150.6;134.6
3000;1859.6;1647.5;1556.9;126.3;143.6;155.2
3100;2032;1786.6;1700.5;130.6;141.6;247.2
3200;1874.9;1683.1;1726.4;145.8;260.5;300
3300;1970.4;1868.9;1725.2;276.5;267.9;185
3400;2032.8;1934.2;1847.5;347.2;294.5;401.2
3500;1981.3;1972.6;1802.7;193.6;274.1;195.5
3600;2134.1;2182.7;1953.6;401.5;509.4;331.2
3700;2086.8;2309.8;2056.3;243;379.1;258.2
3800;2183.1;2272.7;2380.4;396.9;301.6;330.2
3900;2348;2454.8;2624;962.9;664;669.5
4000;2308.6;2442.5;2276.9;538.5;356.1;561.5
4100;2386.5;2424.2;2471.2;689.6;705.7;926.7
4200;2522;2971.3;3114.4;1269.2;897.6;1189.8
4300;2429.8;2516.2;2593.5;270.1;466.3;342.5
4400;2638.8;2892.5;3228.6;771.8;1513.9;882.6
4500;2548.1;3141.1;3213.7;894.6;1373.5;1228.6
4600;2751.7;2824.3;2929.9;278.6;400.2;355.3
4700;2637.4;2949.7;3616.6;401.3;437.2;369.9
4800;2731.1;2864.9;3530.8;426.6;598;437.1
4900;2880.3;3697.2;2661.5;386.8;740.4;845.1
5000;2967.7;3098.9;2729.3;412.6;303.4;541.7
5100;2881.2;3650.1;2815.9;530.3;428.9;791.7
5200;2972.4;4270.9;2926.4;936.7;775.8;874.9
5300;3003.4;4446.3;3465.5;754.5;723.4;726.1
5400;3078.2;3154.1;3291.9;713.9;739.1;1008.7
5500;3103;3863.9;3434.9;1237.6;1072.1;1423.7
5600;3346;3070.1;3069.2;872.3;685.1;919.6
5700;3388.3;3241.4;3430.5;395.8;985.8;870.2
5800;3281.1;3392.5;3310.9;396.2;1090.6;714.9
5900;3350.8;3804.9;3769.2;802;1615.3;1117
6000;3353.6;3729.4;3505.8;987.8;777.2;906.2
6100;3467.7;3902.1;4187.5;1458.9;1149.5;1698.9
6200;3536.4;3634.7;4483.8;688;702.4;1424.4
6300;3525.6;4049.9;4252.1;559.4;1115.7;1223.2
6400;3711.3;4546.1;4685.3;840.3;1470.2;1603.1
6500;3812.5;3848.2;3756.4;1047.3;838;465.5
6600;3774.2;4219.6;3910.8;1417.2;1054.1;692.4
6700;3743.1;4091;4219;1214.3;993.8;1050.6
6800;4004.5;4815.5;4807.3;1543.4;1400.3;1365.8
6900;3938.3;5014.8;4639.3;1090;1380.6;1335.9
7000;3773.8;3667.8;3748.5;434;399.5;451.5
7100;3859.5;3826;3930.9;542.1;391.6;447
7200;3973.3;3850;3952.4;697;488.8;431.1
7300;4025.7;4011.7;4044.9;701.6;442.9;426.2
7400;4270.8;4041.4;4037.5;531.3;462.1;397.9
7500;4052.5;4154.2;4016.8;656.9;488.5;413.8
7600;4007.5;4171.8;4363.8;471.6;556.1;496.7
7700;4317;4208.1;4261.5;435.8;552;508.9
7800;4340.5;4336.7;4543.3;574.7;743.8;757.9
7900;4337.2;4227;4386.6;375.1;489.1;467.4
8000;4498.6;4324.6;4304.7;430.4;627;552.5
8100;4379.2;4517.9;4631.1;469.2;616.2;868
8200;4457.7;4524;4439.9;549.2;729.8;832.1
8300;4551.8;4871.9;4876.6;647.9;948.2;1062.1
8400;4600.9;4847.6;5196.8;697;908.6;1050.7
8500;4520.7;4665.1;4891.5;611;833.7;605.1
8600;4646.9;4762.9;4602;571.7;531.3;652
8700;4882.6;4894.5;4834.4;763.2;716.8;838.4
8800;5185.8;5011.2;4876.6;959.3;791.3;818.8
8900;5129.4;5036.7;5045.2;807.4;834.1;909.8
9000;5101.7;5170.8;5283.2;785.8;832;904.4
9100;5223.6;5351.9;5211.9;1067.9;1269.3;1279.2
9200;4837.8;5024;4911.5;486.9;502;486.2
9300;4957;5456.8;4921.9;490.2;516.2;563.3
9400;4868.7;5223.9;5050.8;510.5;560.3;546.4
9500;5192.2;5598.4;5178.2;610.7;555;644.9
9600;5038.3;5251.7;4967.2;553.1;580.4;605.9
9700;5654.2;4986.3;5044.7;626.7;737.1;596.4
9800;5518.1;4900.3;5203.4;588.5;703.8;691.8
9900;6041.8;5324.7;5145.1;684.7;826.1;639
10000;5791.5;5120.2;5044.3;457.8;575.4;577.6
